"year","race","opioid_type","std_rate","sd"
2004,"black","nonh_nonm",2.15843874034605,0.0776871794261531
2005,"black","nonh_nonm",2.24582648315639,0.0786399874742599
2006,"black","nonh_nonm",2.98226369003057,0.0897491869401687
2007,"black","nonh_nonm",2.23011665480838,0.0767743949076976
2008,"black","nonh_nonm",2.24941371426306,0.0766496208402484
2009,"black","nonh_nonm",2.30382926643366,0.0773384411864056
2010,"black","nonh_nonm",2.23909610032205,0.0751712852400874
2011,"black","nonh_nonm",2.41622515603243,0.0777100557310871
2012,"black","nonh_nonm",2.48785984300338,0.0782916829214968
2013,"black","nonh_nonm",2.52219759730492,0.0783654877797225
2014,"black","nonh_nonm",3.26155704577157,0.08901756695423
2015,"black","nonh_nonm",4.17999134950924,0.100383227273839
2016,"black","nonh_nonm",7.85562632484132,0.136073846334022
2017,"black","nonh_nonm",0.0001,0.001
1979,"total","nonh_nonm",0.250983908179222,0.0109122130920327
1980,"total","nonh_nonm",0.237171313738648,0.0105586940184725
1981,"total","nonh_nonm",0.23211311177228,0.0103222738825282
1982,"total","nonh_nonm",0.280997965749973,0.0112367623495719
1983,"total","nonh_nonm",0.276565495231126,0.0109666656434879
1984,"total","nonh_nonm",0.289995864728413,0.0112385669558938
1985,"total","nonh_nonm",0.327008823161212,0.011866661281418
1986,"total","nonh_nonm",0.370202817847333,0.0125412929597366
1987,"total","nonh_nonm",0.388437305642699,0.0127722085328806
1988,"total","nonh_nonm",0.483183073233726,0.014144494894531
1989,"total","nonh_nonm",0.5484262056879,0.0150701523441171
1990,"total","nonh_nonm",0.481331363447063,0.0138856532778634
1991,"total","nonh_nonm",0.596389041187203,0.0154852650136127
1992,"total","nonh_nonm",0.781900314220482,0.0175766502394857
1993,"total","nonh_nonm",1.02600944762523,0.0200043825592176
1994,"total","nonh_nonm",1.07846723735007,0.020413742931919
1995,"total","nonh_nonm",1.08503074131493,0.0203161683579338
1996,"total","nonh_nonm",1.10275555283729,0.0203806050159017
1997,"total","nonh_nonm",1.22353102555906,0.0213423943851536
1998,"total","nonh_nonm",1.39720663718726,0.0227198413249538
1999,"total","nonh_nonm",2.243259160262,0.0286624601494838
2000,"total","nonh_nonm",2.22926857825778,0.028117574774802
2001,"total","nonh_nonm",2.44070623441064,0.0292535377088661
2002,"total","nonh_nonm",2.91569496123335,0.0318525646048248
2003,"total","nonh_nonm",3.06520302970402,0.0325410693687943
2004,"total","nonh_nonm",3.10139457392873,0.0325854837660448
2005,"total","nonh_nonm",3.28797783686472,0.0333876358834244
2006,"total","nonh_nonm",3.91168183174846,0.0362636917162923
2007,"total","nonh_nonm",4.03240987287206,0.0367243753156327
2008,"total","nonh_nonm",4.36897289866958,0.0380958669455488
2009,"total","nonh_nonm",4.6103138547105,0.0390240013709625
2010,"total","nonh_nonm",4.89756601313977,0.0401991624890633
2011,"total","nonh_nonm",5.12874005291765,0.0410732521509276
2012,"total","nonh_nonm",4.89914608997126,0.040035195175533
2013,"total","nonh_nonm",4.96124493465938,0.0400995635546907
2014,"total","nonh_nonm",5.72099639261058,0.04307313627581
2015,"total","nonh_nonm",6.94347921813872,0.0475191409767427
2016,"total","nonh_nonm",10.0228155463828,0.0571090719239364
2017,"total","nonh_nonm",0.0001,0.001
1979,"white","nonh_nonm",0.252222215177706,0.0116651589140225
1980,"white","nonh_nonm",0.226410579722623,0.0110336241290781
1981,"white","nonh_nonm",0.22929738732108,0.0110066002362264
